ID,Model,ModelParameters,TransformationParameters,Ensemble,Runs,smape,mae,rmse,made,mage,mle,imle,spl,containment,contour,maxe,oda,dwae,mqae,smape_weighted,mae_weighted,rmse_weighted,made_weighted,mage_weighted,mle_weighted,imle_weighted,spl_weighted,maxe_weighted,oda_weighted,dwae_weighted,mqae_weighted,containment_weighted,contour_weighted,TotalRuntimeSeconds,Score,index
5722e733bc026c3f81dede35e6fb3a6d,RRVAR,"{""method"": ""dmd"", ""rank"": 2, ""maxiter"": 200}","{""fillna"": ""ffill"", ""transformations"": {""0"": ""ClipOutliers"", ""1"": ""Detrend"", ""2"": ""Round"", ""3"": ""AlignLastValue"", ""4"": ""SinTrend""}, ""transformation_params"": {""0"": {""method"": ""clip"", ""std_threshold"": 2, ""fillna"": null}, ""1"": {""model"": ""Linear"", ""phi"": 1, ""window"": null, ""transform_dict"": {""fillna"": null, ""transformations"": {""0"": ""ClipOutliers""}, ""transformation_params"": {""0"": {""method"": ""clip"", ""std_threshold"": 3}}}}, ""2"": {""decimals"": 1, ""on_transform"": false, ""on_inverse"": true}, ""3"": {""rows"": 1, ""lag"": 2, ""method"": ""additive"", ""strength"": 1.0, ""first_value_only"": false}, ""4"": {}}}",0,3,2.878433314506369,6.898110415812218,8.057916309699861,0.9638758595185827,4.665915415288789,5.0426533092752495,3.7156048198393634,0.8057302074387981,0.6507936507936508,0.42857142857142855,21.20424196229942,0.4761904761904762,2.3792950644493844,6.898110415812218,2.878433314506369,6.898110415812218,8.057916309699861,0.9638758595185827,4.665915415288789,5.0426533092752495,3.7156048198393634,0.8057302074387981,21.20424196229942,0.4761904761904762,2.3792950644493844,6.898110415812218,0.6507936507936508,0.42857142857142855,0.04643333333333333,35.772996041559075,
5722e733bc026c3f81dede35e6fb3a6d,RRVAR,"{""method"": ""dmd"", ""rank"": 2, ""maxiter"": 200}","{""fillna"": ""ffill"", ""transformations"": {""0"": ""ClipOutliers"", ""1"": ""Detrend"", ""2"": ""Round"", ""3"": ""AlignLastValue"", ""4"": ""SinTrend""}, ""transformation_params"": {""0"": {""method"": ""clip"", ""std_threshold"": 2, ""fillna"": null}, ""1"": {""model"": ""Linear"", ""phi"": 1, ""window"": null, ""transform_dict"": {""fillna"": null, ""transformations"": {""0"": ""ClipOutliers""}, ""transformation_params"": {""0"": {""method"": ""clip"", ""std_threshold"": 3}}}}, ""2"": {""decimals"": 1, ""on_transform"": false, ""on_inverse"": true}, ""3"": {""rows"": 1, ""lag"": 2, ""method"": ""additive"", ""strength"": 1.0, ""first_value_only"": false}, ""4"": {}}}",0,3,2.878433314506369,6.898110415812218,8.057916309699861,0.9638758595185827,4.665915415288789,5.0426533092752495,3.7156048198393634,0.8057302074387981,0.6507936507936508,0.42857142857142855,21.20424196229942,0.4761904761904762,2.3792950644493844,6.898110415812218,2.878433314506369,6.898110415812218,8.057916309699861,0.9638758595185827,4.665915415288789,5.0426533092752495,3.7156048198393634,0.8057302074387981,21.20424196229942,0.4761904761904762,2.3792950644493844,6.898110415812218,0.6507936507936508,0.42857142857142855,0.04643333333333333,35.772996041559075,175.0
89f703721dc0daa48c1f9bcda62ca746,MultivariateMotif,"{""window"": 10, ""point_method"": ""median"", ""distance_metric"": ""mahalanobis"", ""k"": 10, ""max_windows"": null}","{""fillna"": ""time"", ""transformations"": {""0"": ""ClipOutliers"", ""1"": ""bkfilter"", ""2"": ""StandardScaler"", ""3"": ""AlignLastValue"", ""4"": ""AlignLastValue""}, ""transformation_params"": {""0"": {""method"": ""clip"", ""std_threshold"": 2, ""fillna"": null}, ""1"": {}, ""2"": {}, ""3"": {""rows"": 7, ""lag"": 1, ""method"": ""additive"", ""strength"": 1.0, ""first_value_only"": false}, ""4"": {""rows"": 1, ""lag"": 1, ""method"": ""additive"", ""strength"": 1.0, ""first_value_only"": false}}}",0,3,2.737375371127856,6.549920155710542,7.7558853315464775,0.9697579631075195,4.435829917234581,4.573141741430587,3.761530570708853,1.3420225227568068,0.5396825396825397,0.4603174603174603,21.01521935229391,0.4920634920634921,2.3029862220649044,6.549920155710542,2.737375371127856,6.549920155710542,7.7558853315464775,0.9697579631075195,4.435829917234581,4.573141741430587,3.761530570708853,1.3420225227568068,21.01521935229391,0.4920634920634921,2.3029862220649044,6.549920155710542,0.5396825396825397,0.4603174603174603,0.012666666666666666,39.431722553297064,268.0
49e0ff54e8e49c589325ab591469143b,WindowRegression,"{""window_size"": 10, ""input_dim"": ""univariate"", ""output_dim"": ""1step"", ""normalize_window"": false, ""max_windows"": 5000, ""regression_type"": null, ""regression_model"": {""model"": ""Ridge"", ""model_params"": {""alpha"": 1.0}}}","{""fillna"": ""ffill_mean_biased"", ""transformations"": {""0"": ""PowerTransformer"", ""1"": ""ClipOutliers"", ""2"": ""bkfilter"", ""3"": ""AlignLastValue"", ""4"": ""AnomalyRemoval""}, ""transformation_params"": {""0"": {}, ""1"": {""method"": ""clip"", ""std_threshold"": 3, ""fillna"": null}, ""2"": {}, ""3"": {""rows"": 1, ""lag"": 7, ""method"": ""additive"", ""strength"": 1.0, ""first_value_only"": false}, ""4"": {""method"": ""mad"", ""transform_dict"": {""fillna"": ""ffill"", ""transformations"": {""0"": ""SeasonalDifference""}, ""transformation_params"": {""0"": {""lag_1"": 12, ""method"": ""Mean""}}}, ""method_params"": {""distribution"": ""gamma"", ""alpha"": 0.1}, ""fillna"": ""rolling_mean_24""}}}",0,3,2.8522762070319856,6.864414717997398,7.739225435531851,0.9957638812612876,4.585837550795829,4.469229790138925,4.290154662904854,1.377191348366285,0.5714285714285714,0.5079365079365079,14.714011938448493,0.5396825396825397,1.8941573307138908,6.864414717997398,2.8522762070319856,6.864414717997398,7.739225435531851,0.9957638812612876,4.585837550795829,4.469229790138925,4.290154662904854,1.377191348366285,14.714011938448493,0.5396825396825397,1.8941573307138908,6.864414717997398,0.5714285714285714,0.5079365079365079,0.039766666666666665,40.2694740711153,153.0
77d80c640b144ffb1a8924aa5d0b9b55,SectionalMotif,"{""window"": 10, ""point_method"": ""midhinge"", ""distance_metric"": ""cityblock"", ""include_differenced"": true, ""k"": 10, ""stride_size"": 10, ""regression_type"": null}","{""fillna"": ""pad"", ""transformations"": {""0"": ""RollingMeanTransformer"", ""1"": ""Detrend"", ""2"": ""Detrend"", ""3"": ""AlignLastValue""}, ""transformation_params"": {""0"": {""fixed"": true, ""window"": 10}, ""1"": {""model"": ""GLS"", ""phi"": 1, ""window"": null, ""transform_dict"": {""fillna"": null, ""transformations"": {""0"": ""ClipOutliers""}, ""transformation_params"": {""0"": {""method"": ""clip"", ""std_threshold"": 3}}}}, ""2"": {""model"": ""Linear"", ""phi"": 1, ""window"": null, ""transform_dict"": null}, ""3"": {""rows"": 1, ""lag"": 1, ""method"": ""additive"", ""strength"": 1.0, ""first_value_only"": false}}}",0,3,3.5828050223235444,8.562514359089965,9.731535716508871,1.0298608787874788,5.815493437131496,7.217343524063511,3.3563512570377863,0.8445278206889085,0.5079365079365079,0.42857142857142855,22.542516927271635,0.4761904761904762,2.886007025250974,8.562514359089965,3.5828050223235444,8.562514359089965,9.731535716508871,1.0298608787874788,5.815493437131496,7.217343524063511,3.3563512570377863,0.8445278206889085,22.542516927271635,0.4761904761904762,2.886007025250974,8.562514359089965,0.5079365079365079,0.42857142857142855,0.013333333333333334,41.239950239577034,234.0
ffce81942a98d705a2cfe64b57e4edba,KalmanStateSpace,"{""state_transition"": [[1]], ""process_noise"": [[0.51]], ""observation_model"": [[1]], ""observation_noise"": 1.0}","{""fillna"": ""ffill"", ""transformations"": {""0"": ""RollingMeanTransformer"", ""1"": ""Detrend""}, ""transformation_params"": {""0"": {""fixed"": true, ""window"": 10}, ""1"": {""model"": ""GLS"", ""phi"": 1, ""window"": 30, ""transform_dict"": null}}}",0,3,3.34059283268441,8.042108404182663,9.403103407888302,1.017445644023711,5.372992719129573,4.416693895219612,5.64694995191729,1.3101363788063665,0.17460317460317457,0.746031746031746,23.944467461438137,0.4761904761904762,2.2325141360189873,8.042108404182663,3.34059283268441,8.042108404182663,9.403103407888302,1.017445644023711,5.372992719129573,4.416693895219612,5.64694995191729,1.3101363788063665,23.944467461438137,0.4761904761904762,2.2325141360189873,8.042108404182663,0.17460317460317457,0.746031746031746,0.028766666666666666,42.57903550579181,495.0
865833bdc361b1157c6bc1da9a4b12bc,SeasonalNaive,"{""method"": ""lastvalue"", ""lag_1"": 7, ""lag_2"": 12}","{""fillna"": ""ffill"", ""transformations"": {""0"": ""MaxAbsScaler"", ""1"": ""bkfilter"", ""2"": ""PowerTransformer"", ""3"": ""Detrend""}, ""transformation_params"": {""0"": {}, ""1"": {}, ""2"": {}, ""3"": {""model"": ""Linear"", ""phi"": 1, ""window"": null, ""transform_dict"": null}}}",0,3,3.5842060078183047,8.592032744409686,9.896603165891277,1.1289465606688813,5.8043474446404515,6.530448732628771,4.106050203905646,1.0239822873373718,0.6666666666666666,0.5396825396825397,20.402961466091,0.4761904761904762,2.6811129612146174,8.592032744409686,3.5842060078183047,8.592032744409686,9.896603165891277,1.1289465606688813,5.8043474446404515,6.530448732628771,4.106050203905646,1.0239822873373718,20.402961466091,0.4761904761904762,2.6811129612146174,8.592032744409686,0.6666666666666666,0.5396825396825397,0.040766666666666666,42.606777603827595,258.0
c09628039bf73503f1456b56e6dfc3a9,LastValueNaive,{},"{""fillna"": ""ffill"", ""transformations"": {""0"": ""RollingMeanTransformer"", ""1"": ""SinTrend"", ""2"": ""Detrend""}, ""transformation_params"": {""0"": {""fixed"": true, ""window"": 10}, ""1"": {}, ""2"": {""model"": ""Linear"", ""phi"": 1, ""window"": null, ""transform_dict"": null}}}",0,3,3.674807347799335,8.821953431020798,9.875962548151234,1.0193921436844886,5.939242642423381,5.829690837039993,5.130775917601352,0.8484337539731546,0.5714285714285714,0.23809523809523805,23.066073838412194,0.4761904761904762,2.5460685328901116,8.821953431020798,3.674807347799335,8.821953431020798,9.875962548151234,1.0193921436844886,5.939242642423381,5.829690837039993,5.130775917601352,0.8484337539731546,23.066073838412194,0.4761904761904762,2.5460685328901116,8.821953431020798,0.5714285714285714,0.23809523809523805,0.0291,42.65879618268496,375.0
3246a9f5d6074a12bee2cc94e26984d3,AverageValueNaive,"{""method"": ""Median"", ""window"": 28}","{""fillna"": ""pad"", ""transformations"": {""0"": ""AlignLastValue"", ""1"": ""PowerTransformer"", ""2"": ""AlignLastValue""}, ""transformation_params"": {""0"": {""rows"": 7, ""lag"": 7, ""method"": ""additive"", ""strength"": 1.0, ""first_value_only"": false}, ""1"": {}, ""2"": {""rows"": 1, ""lag"": 1, ""method"": ""additive"", ""strength"": 1.0, ""first_value_only"": false}}}",0,3,3.399174508328199,8.206624041546833,10.208695331299195,1.0100255142341654,5.442847150253331,3.506682490190306,6.600215225371737,1.0705324661975755,0.2857142857142857,0.23809523809523805,27.350064958844854,0.4761904761904762,2.0976501366487836,8.206624041546833,3.399174508328199,8.206624041546833,10.208695331299195,1.0100255142341654,5.442847150253331,3.506682490190306,6.600215225371737,1.0705324661975755,27.350064958844854,0.4761904761904762,2.0976501366487836,8.206624041546833,0.2857142857142857,0.23809523809523805,0.011333333333333334,43.243083817520876,101.0
237142582f3903d768daddfacd8605f9,DatepartRegression,"{""regression_model"": {""model"": ""DecisionTree"", ""model_params"": {""max_depth"": 3, ""min_samples_split"": 0.05}}, ""datepart_method"": ""simple_binarized"", ""polynomial_degree"": 2, ""regression_type"": null}","{""fillna"": ""ffill"", ""transformations"": {""0"": ""ClipOutliers"", ""1"": ""Detrend"", ""2"": ""HPFilter""}, ""transformation_params"": {""0"": {""method"": ""clip"", ""std_threshold"": 1, ""fillna"": null}, ""1"": {""model"": ""Linear"", ""phi"": 1, ""window"": null, ""transform_dict"": {""fillna"": null, ""transformations"": {""0"": ""ClipOutliers""}, ""transformation_params"": {""0"": {""method"": ""clip"", ""std_threshold"": 3}}}}, ""2"": {""part"": ""trend"", ""lamb"": 1600}}}",0,3,3.4267076445486215,8.233260621571192,10.884461819116899,1.1550244190897376,5.597240288926646,5.160316090613504,4.910332626096863,1.007145415608658,0.5079365079365079,0.23809523809523805,32.98136082040688,0.4761904761904762,2.744284117796792,8.233260621571192,3.4267076445486215,8.233260621571192,10.884461819116899,1.1550244190897376,5.597240288926646,5.160316090613504,4.910332626096863,1.007145415608658,32.98136082040688,0.4761904761904762,2.744284117796792,8.233260621571192,0.5079365079365079,0.23809523809523805,0.0531,43.31583136591226,67.0
